Package,Oldness
async-each,0
@babel_preset-react,0.03571428571428571
typedarray,0
https-proxy-agent,0.08695652173913043
flatted,0
nan,0
util-deprecate,0
fresh,0
type,0
strip-bom,0
nopt,0.0
istanbul-lib-coverage,0
is-directory,0
util,0.00042735042735042735
har-validator,0.05966143682906688
dashdash,0.0
file-loader,0.08131740639406648
errno,0.0
jsbn,0
ieee754,0
ajv-keywords,0.0
snapdragon-util,0.0
infer-owner,0
parent-module,0.14285714285714285
unicode-property-aliases-ecmascript,0
postcss-selector-parser,0.0
exit,0
p-map,0.0
@babel_plugin-transform-regenerator,0.010101010101010102
mute-stream,0
timers-browserify,0.0
react-dom,0.11429921130463358
ajv-errors,0
figgy-pudding,0
caller-path,0.15476190476190477
cli-boxes,0
spdx-correct,0.0
to-regex-range,0.0
regenerator-runtime,0
posix-character-classes,0
data-urls,0.06871008939974457
source-map-resolve,0.0
brorand,0
cacache,0.08138844881619685
core-js-compat,0.023437459602441486
@babel_helper-create-regexp-features-plugin,0.12559484850125244
node-fetch,0.06077694235588972
builtin-status-codes,0
browserify-des,0.0
extend-shallow,0.30000000000000004
inflight,0.0
arrify,0
assert,0.0003875968992248062
uuid,0
pako,0
jest-pnp-resolver,0
forever-agent,0
hash-base,0.0
content-disposition,0.2
is-symbol,0.0
browserify-aes,0.038461538461538464
is-wsl,0.125
merge2,0
react,0.05882352941176471
stream-each,0.0
url-parse,0.0
@babel_helper-skip-transparent-expression-wrappers,0.14285714285714285
regexpp,0
unicode-match-property-value-ecmascript,0
commondir,0
md5.js,0.0
global-modules,0.04174228675136116
json-buffer,0
escape-html,0
@cyf1996..._cq-attribute-import,0
hash.js,0.0
has-unicode,0
js-yaml,0.0
p-finally,0
@xtuc_long,0
uglify-js,0
p-cancelable,0
get-value,0.1
whatwg-mimetype,0
svgo,0.12399956307117554
xmlchars,0
decode-uri-component,0
@babel_plugin-transform-classes,0.11450616230832163
is-arguments,0.0
w3c-hr-time,0.0
unique-filename,0.0
file-uri-to-path,0
read-pkg,0.1208831218443507
tough-cookie,0.16666666666666666
eslint-module-utils,0.5953172280617933
for-in,0
ipaddr.js,0
is-number-object,0.0
delayed-stream,0
is-stream,0
simple-swizzle,0.0
fast-glob,0.011764705882352941
object.pick,0.1
@babel_generator,0.1354978354978355
is-callable,0
co,0
gauge,0.20138888888888887
diffie-hellman,0.010256410256410256
@webassemblyjs_helper-api-error,0
picomatch,0
postcss-modules-values,0.0
progress,0
@babel_plugin-transform-block-scoping,0.0
registry-auth-token,0.08771929824561403
is-glob,0.0
escodegen,0.07536999550157444
request,0.05898294884001883
source-map-support,0.03787878787878788
spdx-license-ids,0
text-table,0
@babel_helper-get-function-arity,0.14285714285714285
prelude-ls,0
number-is-nan,0
resolve-from,0
path-key,0
colors,0
test-exclude,0.07065532942183107
estraverse,0
hosted-git-info,0.20348837209302326
@babel_highlight,0.26532533705913924
has-values,0.0
@webassemblyjs_helper-fsm,0
pump,0.0
q,0.05555555555555555
@babel_plugin-transform-member-expression-literals,0.0
emojis-list,0
readable-stream,0.0
date-fns,0
stream-http,0.0
duplexify,0.0
@babel_plugin-transform-arrow-functions,0.0
esutils,0
memory-fs,0.1345773140716961
sort-keys,0.0
esquery,0.0
@tootallnate_once,0
agent-base,0.13043478260869565
css-loader,0.0036452385505741786
process,0
css-select,0.09920421341748481
path-is-inside,0
sha.js,0.0
eslint-scope,0.0
json-schema,0
shell-quote,0
@babel_plugin-transform-named-capturing-groups-regex,0.09148629148629149
internal-slot,0.0
@webassemblyjs_leb128,0.0
imurmurhash,0
jsesc,0
aggregate-error,0.0
which-boxed-primitive,0.0
deep-extend,0
buffer-xor,0.0
encodeurl,0
espree,0.0
html-encoding-sniffer,0.0
cipher-base,0.0
source-map,0
portfinder,0.10396858284305689
@babel_plugin-transform-react-display-name,0.0
lodash.uniq,0
acorn,0
@szmarczak_http-timer,0.0
import-lazy,0
json5,0.0
widest-line,0.02
are-we-there-yet,0.0
evp_bytestokey,0.0
bn.js,0
class-utils,0.25011784511784513
open,0.20833333333333334
postcss-modules-extract-imports,0
har-schema,0
cosmiconfig,0.1976149943474664
mdn-data,0
babel-preset-jest,0.08354693669546619
boxen,0.19119506711465492
unicode-canonical-property-names-ecmascript,0
randombytes,0.0
chardet,0
@webassemblyjs_helper-wasm-section,0.0
concat-map,0
@babel_plugin-transform-block-scoped-functions,0.0
pkg-dir,0.21953601953601953
word-wrap,0
typescript,0
path-dirname,0
duplexer,0
strip-json-comments,0
w3c-xmlserializer,0.0
@webassemblyjs_helper-wasm-bytecode,0
json-parse-better-errors,0
saxes,0.0
domutils,0.1657997311827957
decompress-response,0.16666666666666666
isstream,0
browserify-rsa,0.0
shebang-command,0.3333333333333333
create-hash,0.0
invariant,0.08823529411764706
make-dir,0.17204301075268819
rc,0.10964912280701754
entities,0
promise,0.0
to-object-path,0.38
core-js,0
snapdragon-node,0
file-entry-cache,0.060561710932998065
tar,0.0
@sinonjs_commons,0.0
@babel_plugin-syntax-top-level-await,0.0
@babel_plugin-syntax-nullish-coalescing-operator,0.0
electron-to-chromium,0
prop-types,0.11664205431126426
@babel_plugin-transform-dotall-regex,0.08576839826839827
opn,0.8
isexe,0
once,0.0
@babel_plugin-transform-parameters,0.0
@babel_plugin-syntax-class-properties,0.0
scheduler,0.05882352941176471
extend,0
xmlbuilder,0
p-timeout,0
colorette,0
get-stdin,0
unique-string,0.1736111111111111
normalize-package-data,0.036353995906384
component-emitter,0
p-try,0
run-queue,0.0
@babel_plugin-transform-unicode-escapes,0.0
@webassemblyjs_utf8,0
@babel_traverse,0.1479037929815821
inquirer,0.14058266941089756
@babel_template,0.20117853300740582
tmp,0.07065532942183107
static-extend,0.30921946740128553
tmpl,0
no-case,0.0
shebang-regex,0
postcss-loader,0.1683386988885825
responselike,0.3333333333333333
websocket-extensions,0
@babel_plugin-syntax-dynamic-import,0.0
whatwg-url,0.059259259259259255
p-limit,0.0
fs-extra,0.0
balanced-match,0
repeat-element,0
assign-symbols,0
object-inspect,0
spdx-expression-parse,0.0
copy-descriptor,0
querystring,0
es-to-primitive,0.0
merge-descriptors,0
ansi-escapes,0.3472222222222222
flush-write-stream,0.0
bcrypt-pbkdf,0.20833333333333334
@babel_plugin-proposal-export-namespace-from,0.0
read-pkg-up,0.14680215219157575
concat-stream,0.0
@babel_plugin-transform-modules-systemjs,0.09101771875789669
import-from,0
string.prototype.trimstart,0.0
regexpu-core,0.14205271101822825
restore-cursor,0.1706349206349206
lodash.isplainobject,0
levn,0.0
depd,0
jest-regex-util,0
ansi-align,0.41000000000000003
@babel_plugin-syntax-numeric-separator,0.0
elliptic,0.007326007326007326
async-limiter,0
aproba,0
rsvp,0
xml2js,0.04639175257731959
@babel_code-frame,0.2387928033532253
@babel_plugin-transform-modules-umd,0.11832303438526567
execa,0.19412698412698415
@babel_plugin-transform-object-super,0.11832303438526567
external-editor,0.18903896103896103
webidl-conversions,0
tweetnacl,0
react-is,0
graceful-fs,0
cookie,0
resolve-url,0
negotiator,0
bytes,0
global-prefix,0.05217785843920145
istanbul-reports,0.18489503328213006
loader-utils,0.06666666666666667
jest-docblock,0.09090909090909091
@babel_plugin-proposal-dynamic-import,0.0
css-tree,0.22905525846702315
array-includes,0.0005376344086021505
ee-first,0
node-notifier,0.058333333333333334
@babel_helper-validator-option,0
bser,0.0
safe-regex,0.0
find-up,0.0
cssstyle,0.3
array-flatten,0
nice-try,0
arr-diff,0
@babel_plugin-proposal-json-strings,0.0
chrome-trace-event,0
buffer-from,0
promise-inflight,0
compressible,0.0
decimal.js,0
tty-browserify,0
https-browserify,0
http-proxy-agent,0.16521739130434782
string.prototype.trimend,0.0
clean-css,0.07575757575757576
strip-ansi,0.0
@webassemblyjs_wasm-opt,0.0
cssesc,0
cli-width,0
create-hmac,0.0
csso,0.1927035056446821
chokidar,0.015384615384615385
asynckit,0
function-bind,0
istanbul-lib-report,0.1588530465949821
param-case,0.0
methods,0
requires-port,0
delegates,0
table,0.0801328502415459
define-properties,0.0
@babel_plugin-proposal-async-generator-functions,0.11450616230832161
is-fullwidth-code-point,0
array-union,0
define-property,0.13999999999999999
constants-browserify,0
set-value,0.19999999999999998
@babel_plugin-transform-literals,0.0
json-parse-even-better-errors,0
assert-plus,0
inherits,0
jws,0.0
http-errors,0.14326923076923076
range-parser,0
tsutils,0.25
neo-async,0
glob,0.0837962962962963
@babel_core,0.08919331674879781
media-typer,0
deepmerge,0
path-to-regexp,0
camelcase,0
browserify-cipher,0.029411764705882353
qs,0.0
@babel_helper-member-expression-to-functions,0.14285714285714285
set-blocking,0
code-point-at,0
clone-response,0.8333333333333334
@babel_plugin-transform-duplicate-keys,0.0
ci-info,0
@babel_plugin-syntax-logical-assignment-operators,0.0
ip,0
eslint-plugin-import,0.1455905298578277
url-parse-lax,0.0
@babel_helper-hoist-variables,0.14285714285714285
prepend-http,0
@babel_helper-module-imports,0.14285714285714285
events,0
normalize-range,0
boolbase,0
has-flag,0
brace-expansion,0.08333333333333333
indent-string,0
cacheable-request,0.09424518743667679
@babel_plugin-syntax-async-generators,0.0
uri-js,0.0
stealthy-require,0
mime,0
cliui,0.16099191689558273
compression,0.09707044873285282
whatwg-fetch,0
hoist-non-react-statics,0.2900976290097629
@nodelib_fs.stat,0
decamelize,0
natural-compare,0
dir-glob,0.2
strip-eof,0
dotenv,0
escalade,0
v8-compile-cache,0
tar-stream,0.004948268106162843
json-schema-traverse,0
extsprintf,0
@babel_plugin-transform-computed-properties,0.0
@babel_plugin-transform-sticky-regex,0.0
which-module,0
parse-json,0.2041227384673676
@babel_plugin-transform-for-of,0.0
capture-exit,0.0
jest-get-type,0
@babel_plugin-syntax-optional-chaining,0.0
is-arrayish,0
babel-loader,0.16233044852308515
domelementtype,0
prr,0
http-signature,0.07696772924045651
aws-sign2,0
@nodelib_fs.walk,0.0
jwa,0.0
normalize-path,0
http-proxy,0.0
iferr,0
vary,0
sshpk,0.10119047619047619
fill-range,0.0
glob-to-regexp,0
unpipe,0
@babel_helper-split-export-declaration,0.14285714285714285
normalize-url,0
des.js,0.0
@babel_plugin-proposal-optional-catch-binding,0.0
form-data,0.0
performance-now,0
exec-sh,0
wordwrap,0
get-intrinsic,0.0
path-parse,0
he,0
flat-cache,0.06522030408169023
ip-regex,0
nth-check,0.0
core-js-pure,0
urix,0
@babel_plugin-transform-modules-commonjs,0.09101771875789667
http-cache-semantics,0
worker-farm,0.03571428571428571
ret,0
side-channel,0.0
find-cache-dir,0.25822862919637113
url,0.2403846153846154
pinkie-promise,0.0
merge-stream,0
chalk,0.16792270531400966
fs.realpath,0
css-what,0
crypto-random-string,0.3472222222222222
ini,0
asn1,0.0
prompts,0.23684210526315788
@babel_plugin-transform-react-jsx,0.061224489795918366
keyv,0.0
type-check,0.0
trim-newlines,0
pbkdf2,0.0
kleur,0
glob-parent,0.0
minizlib,0.0
npmlog,0.06263227513227514
is-accessor-descriptor,0
proxy-addr,0.03125
make-error,0
os-homedir,0
minipass,0.0
shellwords,0
console-control-strings,0
object-keys,0
hmac-drbg,0.0
lower-case,0.0
has-value,0.025
wrap-ansi,0.016666666666666666
@webassemblyjs_wast-printer,0.0
retry,0
braces,0.0
write-file-atomic,0.013888888888888888
browserify-zlib,0.1724137931034483
dom-serializer,0.1585663082437276
binary-extensions,0
getpass,0.0
os-browserify,0
loglevel,0
eslint-import-resolver-node,0.05098343685300207
object-visit,0.1
has,0.0
import-local,0.26900183150183155
split-string,0
parse5,0
postcss,0.5168365770775409
@babel_helper-optimise-call-expression,0.14285714285714285
punycode,0
create-ecdh,0.00641025641025641
is-number,0
remove-trailing-separator,0
@nodelib_fs.scandir,0.0
@babel_plugin-proposal-class-properties,0.11092784473618658
ignore,0
tslib,0
mimic-response,0
sisteransi,0
is-date-object,0.0
@babel_helper-replace-supers,0.12677467969849893
lodash,0
is-generator-fn,0
object.assign,0.0
color-name,0
to-arraybuffer,0
css,0.015151515151515152
webpack-dev-middleware,0.082802321313882
faye-websocket,0.009259259259259259
deep-equal,0.00037037037037037035
string-width,0.025
istanbul-lib-source-maps,0.08415678524374176
spdx-exceptions,0
pumpify,0.0
is-absolute-url,0
through,0
@babel_plugin-transform-spread,0.08571428571428572
@babel_plugin-transform-template-literals,0.0
path-is-absolute,0
strip-indent,0.0
@babel_plugin-syntax-optional-catch-binding,0.0
@babel_plugin-proposal-numeric-separator,0.0
yargs,0.10143641997861946
@babel_plugin-proposal-object-rest-spread,0.013447300414548726
ssri,0.0
bl,0.0
fastq,0.0
@babel_preset-modules,0.07222601959444065
babel-plugin-jest-hoist,0.1482368137949306
querystringify,0
etag,0
ajv,0.0
get-caller-file,0
source-map-url,0
@babel_helper-builder-binary-assignment-operator-visitor,0.10714285714285714
tapable,0
esrecurse,0.0
ws,0
browser-process-hrtime,0
is-buffer,0
v8-to-istanbul,0.05378787878787879
ts-node,0.05116959064327485
functional-red-black-tree,0
es-abstract,0.0
xtend,0
load-json-file,0
pkg-up,0.4728785103785103
supports-hyperlinks,0.3111111111111111
combined-stream,0.0
is-extglob,0
chownr,0
yallist,0
call-bind,0.0
cookie-signature,0
asn1.js,0.01282051282051282
minimalistic-crypto-utils,0
leven,0
at-least-node,0
rimraf,0.07707854118745208
y18n,0
xml-name-validator,0
dot-prop,0.3333333333333333
ansi-styles,0
object-is,0.0
@babel_helper-simple-access,0.14285714285714285
bindings,0.3333333333333333
fragment-cache,0.0
node-int64,0
type-detect,0
is-promise,0
map-obj,0
@babel_plugin-transform-exponentiation-operator,0.07142857142857142
abbrev,0
@babel_plugin-transform-function-name,0.16567643894727538
@babel_helper-wrap-function,0.13652657813684502
global-dirs,0.05263157894736842
pify,0
walker,0.0
@webassemblyjs_helper-module-context,0.049677219430616315
unbox-primitive,0.0
minimatch,0.06944444444444443
run-parallel,0.0
jsonfile,0.0
utils-merge,0
duplexer3,0
wrappy,0
acorn-globals,0.2934523809523809
symbol-tree,0
eslint-utils,0.4
require-from-string,0
sax,0
arr-union,0
next-tick,0
websocket-driver,0.012345679012345678
icss-utils,0
is-boolean-object,0.0
object-assign,0
@babel_plugin-proposal-nullish-coalescing-operator,0.0
tr46,0.0
fast-json-stable-stringify,0
readdirp,0.0
parallel-transform,0.14159384103204328
acorn-walk,0
@babel_compat-data,0
path-browserify,0
@babel_helper-module-transforms,0.11450616230832161
mime-types,0.04918032786885246
node-modules-regexp,0
figures,0.0
fs-write-stream-atomic,0.2053370786516854
commander,0
eslint-visitor-keys,0
to-regex,0.21538461538461537
supports-color,0.0
require-directory,0
is-regex,0.0
async,0
slice-ansi,0.0
accepts,0.013333333333333334
@babel_plugin-syntax-json-strings,0.0
content-type,0
isobject,0
camel-case,0.0
globby,0.017391304347826087
@babel_helper-explode-assignable-expression,0.14285714285714285
pirates,0.0
@webassemblyjs_wast-parser,0.0
through2,0.0
babel-runtime,0.3814353730351201
vm-browserify,0
onetime,0.0
@babel_plugin-syntax-jsx,0.0
clone-deep,0.15
p-each-series,0
@babel_helper-plugin-utils,0
diff-sequences,0
prettier,0
ecc-jsbn,0.3333333333333333
is-obj,0
@xtuc_ieee754,0
whatwg-encoding,0.0
array-uniq,0
regexp.prototype.flags,0.0
safer-buffer,0
@jest_source-map,0.07287157287157287
toidentifier,0
stack-utils,0.3333333333333333
is-bigint,0.0
setimmediate,0
oauth-sign,0
upath,0
@babel_plugin-transform-async-to-generator,0.11450616230832163
parseurl,0
use,0
node-releases,0
semver,0.20348837209302326
big.js,0
camelcase-keys,0.22841394716394717
postcss-modules-scope,0.006802721088435374
@webassemblyjs_floating-point-hex-parser,0
iconv-lite,0.0
is-negative-zero,0
moment,0
safe-buffer,0
regex-not,0.31428571428571433
enquirer,0.0
reusify,0
optionator,0.008771929824561403
@sinonjs_fake-timers,0.0
json-stable-stringify-without-jsonify,0
mimic-fn,0
finalhandler,0.1256516430429474
quick-lru,0
queue-microtask,0
html-escaper,0
@webassemblyjs_wasm-gen,0.0
asap,0
get-stream,0
querystring-es3,0
acorn-jsx,0
aws4,0
process-nextick-args,0
query-string,0.3875
verror,0.1111111111111111
clone,0
unicode-match-property-ecmascript,0.0
anymatch,0.0
is-string,0.0
browserslist,0.1164941093000091
debug,0.2608695652173913
is-binary-path,0.0
filesize,0
is-descriptor,0
nanoid,0
console-browserify,0
from2,0.15929307116104868
log-symbols,0.12887336093857832
object.entries,0.0005376344086021505
cross-spawn,0.1
arr-flatten,0
gensync,0
caniuse-lite,0
node-forge,0
repeat-string,0
is-typedarray,0
is-plain-obj,0
@babel_helper-function-name,0.1760312163814801
interpret,0
@babel_helper-annotate-as-pure,0.14285714285714285
path-exists,0
array.prototype.flat,0.0005376344086021505
on-headers,0
sprintf-js,0
@babel_plugin-transform-property-literals,0.0
is-plain-object,0
@babel_plugin-transform-shorthand-properties,0.0
randomfill,0.0
@webassemblyjs_helper-buffer,0
is-docker,0
stream-shift,0
lodash.memoize,0
locate-path,0.0
atob,0
sane,0.09383394383394383
map-cache,0
universalify,0
@babel_plugin-proposal-optional-chaining,0.07142857142857142
destroy,0
strict-uri-encode,0
@webassemblyjs_ieee754,0.0
object.values,0.0005376344086021505
domexception,0.2
diff,0
error-ex,0.5
fast-deep-equal,0
enhanced-resolve,0.0
nwsapi,0
bluebird,0
deep-is,0
@istanbuljs_schema,0
style-loader,0
statuses,0
watchpack,0.0
axios,0.0
validate-npm-package-license,0.0
has-symbols,0
is-path-cwd,0
string_decoder,0.0
argparse,0
csstype,0
mime-db,0
yocto-queue,0
kind-of,0
yaml,0
miller-rabin,0.02564102564102564
is-path-in-cwd,0.0
body-parser,0.1568381455146161
psl,0
minimalistic-assert,0
@babel_helper-create-class-features-plugin,0.11832303438526569
rxjs,0.09375
ansi-colors,0
request-promise-core,0.0
esprima,0
loader-runner,0
@sindresorhus_is,0
stream-browserify,0.0
json-stringify-safe,0
@webassemblyjs_wasm-parser,0.0
sockjs-client,0.030758486969667095
globals,0.5833333333333334
mixin-deep,0
@babel_plugin-proposal-logical-assignment-operators,0.0
autoprefixer,0.05644892470514721
source-list-map,0
tsconfig-paths,0.18417874396135264
mkdirp,0
public-encrypt,0.025495337995337996
redent,0.0
callsites,0
color-string,0.0
@babel_plugin-transform-modules-amd,0.09101771875789667
p-locate,0.0
throat,0
shallow-clone,0.0
regenerator-transform,0.0
detect-node,0
astral-regex,0
fb-watchman,0.0
@babel_helper-validator-identifier,0
abab,0
eventemitter3,0
color-convert,0.0
lowercase-keys,0
ast-types,0.0
type-is,0.19047619047619047
import-fresh,0.2809523809523809
escape-string-regexp,0
serialize-javascript,0.0
buffer-crc32,0
loose-envify,0.17647058823529413
makeerror,0.0
@babel_runtime,0.0
unique-slug,0.0
ansi-regex,0
typedarray-to-buffer,0
schema-utils,0.08494185246352877
@babel_types,0.21428571428571427
defer-to-connect,0
resolve,0.0
lines-and-columns,0
fast-levenshtein,0.0
ms,0
@babel_helper-compilation-targets,0.01942387837657038
slash,0
raw-body,0.1247802736479207
domhandler,0.06666666666666667
@webassemblyjs_wasm-edit,0.0
is-path-inside,0
@babel_helpers,0.13652657813684502
resolve-cwd,0.0
@babel_plugin-syntax-object-rest-spread,0.0
pinkie,0
type-fest,0
to-fast-properties,0
lodash.clonedeep,0
minimist,0
os-tmpdir,0
babel-plugin-dynamic-import-node,0.0
js-tokens,0
@babel_plugin-transform-typeof-symbol,0.0
require-main-filename,0
human-signals,0
path-type,0
jsprim,0.24909090909090909
html-entities,0
is-extendable,0.3
ripemd160,0.0
setprototypeof,0
@babel_plugin-proposal-unicode-property-regex,0.08576839826839827
core-util-is,0
del,0.07276581649135185
fs-minipass,0.0
cyclist,0
tunnel-agent,0.0
cssom,0
is-installed-globally,0.05458089668615984
@babel_plugin-transform-destructuring,0.0
array-unique,0
signal-exit,0
postcss-value-parser,0
is-core-module,0.0
has-bigints,0
npm-run-path,0.16666666666666666
@babel_plugin-transform-unicode-regex,0.08576839826839827
yargs-parser,0
is-data-descriptor,0.0
regenerate,0
object.getownpropertydescriptors,0.0005376344086021505
@babel_parser,0
base64-js,0
is-ci,0.0
color,0.0
doctrine,0.0
follow-redirects,0
postcss-modules-local-by-default,0.004081632653061224
lru-cache,0.0
@webassemblyjs_helper-code-frame,0.0
domain-browser,0
forwarded,0
cli-cursor,0.12797619047619047
symbol-observable,0
isarray,0
string-length,0.0
end-of-stream,0.0
regjsparser,0.7619047619047619
collection-visit,0.03333333333333333
@babel_plugin-transform-reserved-words,0.0
@babel_plugin-syntax-export-namespace-from,0.0
micromatch,0.0
@babel_plugin-transform-new-target,0.0
@babel_plugin-proposal-private-methods,0.11092784473618658
convert-source-map,0.2
strip-final-newline,0
map-visit,0.05
regjsgen,0
regenerate-unicode-properties,0.0
@babel_helper-remap-async-to-generator,0.12677467969849893
caseless,0
union-value,0.1826086956521739
webpack-sources,0
has-ansi,0.0
detect-newline,0
clean-stack,0.0
lodash.debounce,0
lodash.sortby,0
parse-asn1,0.022941970310391364
which,0.0
is-windows,0
util.promisify,0.000505050505050505
buffer,0.0
pseudomap,0
lodash.merge,0
emoji-regex,0
on-finished,0.0
os-locale,0.21428571428571427
wide-align,0.5538194444444444
http-parser-js,0
@webassemblyjs_ast,0.0
run-async,0
pascalcase,0
